baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	0.469024672643072	1.63076057571994	0.287610995523368	0.773644527163518	0.905875999245836
GCKDGN101A00ZL_Past	6.00311397157902	-2.70250363958878	2.23660879378239	-1.20830412859931	0.226930300992069	0.486760262055457
GCKDGN101A028J_Past	25.1147709864338	-2.35521225891461	1.56402262421529	-1.50586840781557	0.132100958007048	0.358022828234066
GCKDGN101A03QE_Past	3.52727809705851	-1.06387375772206	2.5706735753483	-0.413850193943009	0.678983821510898	0.857546786356081
GCKDGN101A03XE_Past	28.9323030991648	-3.16575511258196	1.7695158634138	-1.78905155813325	0.0736065125956591	0.250931023383251
GCKDGN101A0607_Past	10.5796307588068	-15.438883534017	2.93022871298715	-5.26883224698123	1.37294360251764e-07	2.82748207393935e-06
GCKDGN101A06FB_Past	10.4644071494278	0.532548818118909	1.71905005990096	0.309792501417667	0.756718754289069	0.896981549838096
GCKDGN101A0884_Past	30.3455961757646	-0.547455764226544	1.64189835113404	-0.333428536455026	0.738810825381077	0.887262930527687
GCKDGN101A08CL_Past	21.7359506924139	-3.24272845052051	1.66915423452978	-1.94273745555576	0.0520478882205042	0.205562961359534
GCKDGN101A097A_Past	6.28101826556344	-2.26664949273595	2.55442757513121	-0.88734145951252	0.374895090631493	0.64129999689165
GCKDGN101A0KSC_Past	27.2720440179517	-3.18422627116413	1.46438661767665	-2.17444371092118	0.0296718283997781	0.144382840828768
GCKDGN101A0LCS_Past	15.0782818046625	-3.40919536888023	1.46403027010427	-2.32863721365367	0.0198782928782199	0.110691056902823
GCKDGN101A0M5U_Past	31.9501836469538	-2.04714079788151	1.43677332512403	-1.42481821041937	0.154209756908099	0.390723232586325
GCKDGN101A0M8H_Past	817.014815457995	-3.68733071576959	1.60068047824506	-2.30360197796144	0.0212449967215352	0.11573998213935
GCKDGN101A0P88_Past	3.0476551055852	-12.8231659928061	3.37024555826564	-3.80481652482469	0.000141909339875222	0.00200666915053857
GCKDGN101A0RO1_Past	3.55824940848606	-4.29658295358281	2.91629896831232	-1.47329989149544	0.140670189949696	0.370700541547765
GCKDGN101A0S0M_Past	7.75137629198386	1.75900659947131	1.78321270176407	0.986425566468419	0.323924324318076	0.595377871256265
GCKDGN101A0S2C_Past	18.7843166354363	-2.23867773078143	2.51554397441631	-0.889937824005194	0.373499272697146	0.640379317413047
GCKDGN101A0SI8_Past	21.5372318982891	-17.4523686399388	2.55428480450224	-6.83258523449572	8.33978232094378e-12	3.05457723362669e-10
GCKDGN101A0ZFB_Past	4.37845053254971	-4.89653037252296	2.36158520605938	-2.07340830216898	0.0381342969544448	0.169235564781727
GCKDGN101A10D0_Past	7.0327411960674	-3.90159201803678	2.49074843510078	-1.5664335920295	0.117247143906941	0.333071977639058
GCKDGN101A12VJ_Past	63.4929056277215	-1.9186393473327	1.28551031584885	-1.49251182482016	0.135565019663997	0.363626221035234
GCKDGN101A13V9_Past	45.0755676218427	-3.91430626505465	1.29485248367946	-3.02297467425148	0.00250303189858744	0.0241820460719959
GCKDGN101A14KT_Past	3.34746644018435	-5.4377026750263	2.60860087557015	-2.08452842516117	0.0371121273979233	0.166551284413945
GCKDGN101A14VE_Past	17.328190496606	-2.93193504554644	1.57896554164208	-1.85687082347428	0.0633295344661126	0.230524451780576
GCKDGN101A15QU_Past	3.29622347332627	-4.95822301839078	2.48253508600445	-1.99724187035393	0.0457989146491365	0.189719627111348
GCKDGN101A177T_Past	8.51464361601869	-0.431590385749006	1.88743709687583	-0.228664778531371	0.819129472155793	0.928879097705497
GCKDGN101A17ZT_Past	23.8903780290048	-2.19989362713783	1.39426884360175	-1.57781165177223	0.114608886217744	0.328662846651182
GCKDGN101A1Q78_Past	3.80966400544415	16.2203336831798	10.9251114399945	1.48468359085112	0.13762766050202	0.367112823841986
GCKDGN101A1T4S_Past	5.18139572919687	-4.98947351012508	2.41843092143551	-2.06310358749609	0.0391027874093637	0.171658871374008
GCKDGN101A1TLT_Past	10.8559880904924	-0.745516804414328	1.84678790489904	-0.403682958089919	0.686445873052225	0.860632024557922
GCKDGN101A1V7Z_Past	6.92084926661199	-6.52887790885786	2.19453040093661	-2.97506833629253	0.00292923286123822	0.0274073897623049
