Contrast,NumDEGsUp,NumDEGsDown,TotalNumDEGs
resIn_30_T1vIn_30_T2	251	70	321
resIn_30_T1vIn_30_T3	346	59	405
resIn_30_T1vIn_30_T4	144	70	214
resIn_30_T1vIn_30_T5	86	106	192
resIn_30_T1vIn_34_T1	58	61	119
resIn_30_T1vIn_39_T1	4455	257	4712
resIn_30_T2vIn_30_T3	235	126	361
resIn_30_T2vIn_30_T4	65	172	237
resIn_30_T2vIn_30_T5	17	235	252
resIn_30_T2vIn_34_T2	164	144	308
resIn_30_T2vIn_37_T2	3728	475	4203
resIn_30_T2vIn_39_T2	10810	665	11475
resIn_30_T3vIn_30_T4	44	288	332
resIn_30_T3vIn_30_T5	14	482	496
resIn_30_T3vIn_34_T3	77	274	351
resIn_30_T3vIn_37_T3	1173	807	1980
resIn_30_T3vIn_39_T3	4973	1133	6106
resIn_30_T4vIn_30_T5	11	66	77
resIn_30_T4vIn_34_T4	35	38	73
resIn_30_T4vIn_37_T4	498	381	879
resIn_30_T4vIn_39_T4	4920	827	5747
resIn_30_T5vIn_34_T5	32	3	35
resIn_30_T5vIn_37_T5	8375	196	8571
resIn_30_T5vIn_39_T5	8667	1827	10494
resIn30_T1vIn_37_T1	1505	192	1697
resInT0vIn_30_T1	82	14	96
resInT0vIn_30_T2	283	26	309
resInT0vIn_30_T3	411	20	431
resInT0vIn_30_T4	162	20	182
resInT0vIn_30_T5	83	29	112
resInT0vIn_TF_TF	125	23	148
resInvOffT0	64	240	304
resOff_30_T1vIn_30_T1	98	155	253
resOff_30_T1vOff_30_T2	3046	162	3208
resOff_30_T1vOff_30_T3	178	71	249
resOff_30_T1vOff_30_T4	233	132	365
resOff_30_T1vOff_30_T5	80	186	266
resOff_30_T1vOff_34_T1	328	76	404
resOff_30_T1vOff_39_T1	8151	383	8534
resOff_30_T2vIn_30_T2	256	3069	3325
resOff_30_T2vOff_30_T3	234	2220	2454
resOff_30_T2vOff_30_T4	285	2227	2512
resOff_30_T2vOff_30_T5	145	3778	3923
resOff_30_T2vOff_34_T2	1088	1695	2783
resOff_30_T2vOff_37_T2	5559	2303	7862
resOff_30_T2vOff_39_T2	5094	3717	8811
resOff_30_T3vIn_30_T3	242	147	389
resOff_30_T3vOff_30_T4	165	262	427
resOff_30_T3vOff_30_T5	54	327	381
resOff_30_T3vOff_34_T3	5725	192	5917
resOff_30_T3vOff_37_T3	228	1805	2033
resOff_30_T3vOff_39_T3	812	864	1676
resOff_30_T4vIn_30_T4	114	220	334
resOff_30_T4vOff_30_T5	137	421	558
resOff_30_T4vOff_34_T4	89	194	283
resOff_30_T4vOff_37_T4	2337	641	2978
resOff_30_T4vOff_39_T4	2442	2410	4852
resOff_30_T5vIn_30_T5	100	81	181
resOff_30_T5vOff_34_T5	76	49	125
resOff_30_T5vOff_37_T5	938	402	1340
resOff_30_T5vOff_39_T5	4154	585	4739
resOff30_T1vOff_37_T1	4877	244	5121
resOffT0vOff_30_T1	76	76	152
resOffT0vOff_30_T2	2407	222	2629
resOffT0vOff_30_T3	200	87	287
resOffT0vOff_30_T4	266	180	446
resOffT0vOff_30_T5	108	271	379
resOffT0vOff_TF_TF	538	68	606
