baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	-0.529955806335771	1.63926452932447	-0.323288765696749	0.746476561266738	1
GCKDGN101A00ZL_Past	6.00311397157902	2.28045048709838	2.1619293031244	1.05482195176443	0.291506762954775	1
GCKDGN101A028J_Past	25.1147709864338	0.573336174211605	1.54462148782124	0.371182311480284	0.710501746951237	1
GCKDGN101A03QE_Past	3.52727809705851	1.47894819162118	2.40860322874352	0.614027322546062	0.539197272352644	1
GCKDGN101A03XE_Past	28.9323030991648	1.74038463136783	1.7068524340778	1.0196456334599	0.307896554377937	1
GCKDGN101A0607_Past	10.5796307588068	0	3.05922210146736	0	1	1
GCKDGN101A06FB_Past	10.4644071494278	0.332067203820419	1.73552721214539	0.191335060318605	0.84826309430688	1
GCKDGN101A0884_Past	30.3455961757646	1.41654604629954	1.64042648373971	0.863523029127291	0.387849963291752	1
GCKDGN101A08CL_Past	21.7359506924139	0.0231018090788215	1.65861905324519	0.0139283393818619	0.988887152363636	1
GCKDGN101A097A_Past	6.28101826556344	-1.12538625710673	2.45798065327244	-0.457849924737383	0.647060265015715	1
GCKDGN101A0KSC_Past	27.2720440179517	-0.151729032160983	1.42183162386817	-0.106713783554902	0.91501604735606	1
GCKDGN101A0LCS_Past	15.0782818046625	1.56254901368056	1.45296070376147	1.07542413888785	0.282184879311404	1
GCKDGN101A0M5U_Past	31.9501836469538	0.230669080423012	1.43296398532256	0.160973396949044	0.872114353522702	1
GCKDGN101A0M8H_Past	817.014815457995	0.939287537009657	1.54961660433657	0.606141889794599	0.544420536433279	1
GCKDGN101A0P88_Past	3.0476551055852	1.13266490859861	3.25805907708862	0.347650205781643	0.728102896584781	1
GCKDGN101A0RO1_Past	3.55824940848606	1.22825646365616	2.78083296059459	0.441686531000242	0.658716057599673	1
GCKDGN101A0S0M_Past	7.75137629198386	4.01915557206027	1.92192909432131	2.09120907942733	0.0365093257885593	1
GCKDGN101A0S2C_Past	18.7843166354363	1.61355827609094	2.52238700241333	0.639694969307699	0.522370926675619	1
GCKDGN101A0SI8_Past	21.5372318982891	1.34892730616235	2.39080188579932	0.56421542670457	0.57260753026083	1
GCKDGN101A0ZFB_Past	4.37845053254971	2.90911453294885	2.31030289054109	1.25919183361603	0.207961050518742	1
GCKDGN101A10D0_Past	7.0327411960674	2.67316442566377	2.44254045940289	1.09441971180991	0.273770942585828	1
GCKDGN101A12VJ_Past	63.4929056277215	0.776124422253746	1.28064483664984	0.606041893929065	0.544486934224878	1
GCKDGN101A13V9_Past	45.0755676218427	0.849408017865797	1.20552164905644	0.704597896297115	0.481060508053414	1
GCKDGN101A14KT_Past	3.34746644018435	-1.34715981442961	2.57587481982053	-0.522991181117826	0.600980390281426	1
GCKDGN101A14VE_Past	17.328190496606	2.22941697252013	1.58254207030873	1.40875684403461	0.158907080088276	1
GCKDGN101A15QU_Past	3.29622347332627	-1.54670131850935	2.3294605070711	-0.663974046271367	0.506706922408675	1
GCKDGN101A177T_Past	8.51464361601869	-1.18531118790649	1.87814656719312	-0.63110686280354	0.527970654167141	1
GCKDGN101A17ZT_Past	23.8903780290048	1.39316793676775	1.37934827470065	1.01001897948515	0.31248619701666	1
GCKDGN101A1Q78_Past	3.80966400544415	0	10.930426671168	0	1	1
GCKDGN101A1T4S_Past	5.18139572919687	1.16322351927393	2.24892544888063	0.517235251107551	0.604991947064041	1
GCKDGN101A1TLT_Past	10.8559880904924	-0.854341649260979	1.84822351319406	-0.462250178705131	0.643901922892097	1
GCKDGN101A1V7Z_Past	6.92084926661199	2.06273561638914	2.12368993509209	0.971297919863096	0.331399944348958	1
GCKDGN101A20KS_Past	5.87890122596942	-1.79156039400044	1.76378098227498	-1.01574992133639	0.309748488898729	1
GCKDGN101A23YI_Past	20.830535637997	0.315687459489485	1.64192953885996	0.192266142984842	0.847533737584489	1
GCKDGN101A2BO2_Past	14.7913484935943	2.57358073276234	2.52773309739444	1.01813784667976	0.308612451597146	1
GCKDGN101A2BOP_Past	3.39190917524887	0.25134026195527	2.73133248067832	0.0920211156031981	0.926681262944704	1
GCKDGN101A2FEY_Past	5.87316858695411	1.46324301946916	1.99605688619716	0.733066792628787	0.463517692573083	1
GCKDGN101A2K37_Past	10.9015573486738	2.33570855426295	1.65072831268517	1.41495637792966	0.157081286374532	1
GCKDGN101A2LIL_Past	3.81611693906338	3.32799629221967	2.48279798859268	1.34042169661418	0.180108285828032	1
GCKDGN101A2NZY_Past	6.85262506460422	0.91997631746795	1.95141225036798	0.471441294526296	0.637325632806082	1
GCKDGN101A2QVI_Past	21.4284957317886	0.441777710272121	1.57133154880064	0.281148628759678	0.778596404338681	1
GCKDGN101A2R04_Past	11.5389446201177	2.95063174174481	1.68148551754039	1.75477677979699	0.0792974968821225	1
GCKDGN101A2TT4_Past	9.57727288803907	-0.21906723316669	1.97902337806742	-0.110694616139712	0.911858515440923	1
GCKDGN101A2V3C_Past	3.6976468013005	4.41155665803378	2.96426062498774	1.48824857735039	0.136685350674815	1
GCKDGN101A2WY5_Past	27.5715981818955	2.8058224994225	1.55112657594358	1.80889331853247	0.0704675786289562	1
GCKDGN101A33CU_Past	5.70386564278099	-1.22761258485416	2.20736372011386	-0.556144224745544	0.578112264424505	1
GCKDGN101A33VX_Past	6.76205575433391	3.66797151611128	2.10377434605475	1.74351946205157	0.0812429177362485	1
GCKDGN101A35AI_Past	5.20244308265903	1.38877130621644	1.81830923686557	0.763770693158016	0.445003904399239	1
GCKDGN101A38VU_Past	43.4703576290158	0.657506037607164	1.26062168455826	0.521572844304644	0.601967774795154	1
GCKDGN101A39U8_Past	4.49942962482592	21.480486535632	2.40142261289522	8.94490058529703	3.72284700437775e-19	2.87230055877758e-16
