baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	1.64413695600134	1.63177063853637	1.00757846548585	0.313656871299668	1
GCKDGN101A00ZL_Past	6.00311397157902	-0.290579356858177	2.17879119687079	-0.133367234673755	0.893902956830521	1
GCKDGN101A028J_Past	25.1147709864338	0.295030543918426	1.53468038744641	0.19224233679648	0.847552384362364	1
GCKDGN101A03QE_Past	3.52727809705851	-2.75613475802893	2.42039128722416	-1.13871454280015	0.254822235063628	1
GCKDGN101A03XE_Past	28.9323030991648	-0.331266367078426	1.64313894582853	-0.201605815454268	0.840224898509216	1
GCKDGN101A0607_Past	10.5796307588068	19.3935657303594	2.94630114073481	6.58234335324007	4.63090609582809e-11	8.93186013232842e-09
GCKDGN101A06FB_Past	10.4644071494278	-0.667600711591988	1.71177145194485	-0.390005751546731	0.696532293920699	1
GCKDGN101A0884_Past	30.3455961757646	-0.908471506101865	1.6331251888906	-0.556277934038236	0.578020869380837	1
GCKDGN101A08CL_Past	21.7359506924139	0.683944978001071	1.65124985927183	0.414198356572564	0.678728845289896	1
GCKDGN101A097A_Past	6.28101826556344	-0.636614107084008	2.45116322474525	-0.259719181757131	0.795080395353691	1
GCKDGN101A0KSC_Past	27.2720440179517	1.79147786200213	1.41071486245004	1.26990783870442	0.204117460631988	1
GCKDGN101A0LCS_Past	15.0782818046625	0.107725026978647	1.42957443290623	0.0753546121831858	0.939932570715591	1
GCKDGN101A0M5U_Past	31.9501836469538	0.514294247628087	1.42712022628749	0.360372054263412	0.718568922132879	1
GCKDGN101A0M8H_Past	817.014815457995	0.193199673850318	1.53706195330318	0.125694135773205	0.899974044025964	1
GCKDGN101A0P88_Past	3.0476551055852	0.283887011367837	3.2480750579572	0.0874016167429276	0.930352284323337	1
GCKDGN101A0RO1_Past	3.55824940848606	1.80976982345048	2.76410132878385	0.654740766774548	0.512634673144737	1
GCKDGN101A0S0M_Past	7.75137629198386	1.71736136498041	1.77246456547831	0.968911536190269	0.332589329096018	1
GCKDGN101A0S2C_Past	18.7843166354363	4.08990640035198	2.42250620511701	1.68829553117881	0.0913545126461863	1
GCKDGN101A0SI8_Past	21.5372318982891	-4.0473182837193	2.38748015383426	-1.69522593820072	0.0900325681882291	1
GCKDGN101A0ZFB_Past	4.37845053254971	2.50911726577096	2.1958592797557	1.14265849770214	0.253180407522266	1
GCKDGN101A10D0_Past	7.0327411960674	1.59564936533028	2.35653830125403	0.677115820473259	0.498332471939593	1
GCKDGN101A12VJ_Past	63.4929056277215	0.760079782504879	1.27383467195466	0.596686366951026	0.550716796338584	1
GCKDGN101A13V9_Past	45.0755676218427	0.988604822368475	1.18927666432931	0.831265635676116	0.405823583120111	1
GCKDGN101A14KT_Past	3.34746644018435	22.6643149638439	2.64450972462885	8.57032770678308	1.03190965391187e-17	5.82525583897321e-15
GCKDGN101A14VE_Past	17.328190496606	1.10838235170269	1.57922380236301	0.701852612684917	0.482771083784225	1
GCKDGN101A15QU_Past	3.29622347332627	4.93378921262816	2.47201319557768	1.99585876865645	0.0459492977673287	1
GCKDGN101A177T_Past	8.51464361601869	0.165302976121367	1.87371105807241	0.0882222343777078	0.929700045738758	1
GCKDGN101A17ZT_Past	23.8903780290048	1.37226610698756	1.36798526051507	1.00312930745385	0.315798475789428	1
GCKDGN101A1Q78_Past	3.80966400544415	5.80612600818055	10.8951532886024	0.532909070150891	0.594096526274464	1
GCKDGN101A1T4S_Past	5.18139572919687	0.910891598891933	2.23537798268971	0.407488847946828	0.683648983264036	1
GCKDGN101A1TLT_Past	10.8559880904924	-0.277250660283102	1.84253819332834	-0.150472137449851	0.880392131532646	1
GCKDGN101A1V7Z_Past	6.92084926661199	1.20917801281602	2.01283401151874	0.600734092278013	0.548017108055741	1
GCKDGN101A20KS_Past	5.87890122596942	1.15330256596855	1.77376564400763	0.65020008131558	0.515562988547102	1
GCKDGN101A23YI_Past	20.830535637997	0.510927255459188	1.63998259346872	0.311544316076263	0.755386858543215	1
GCKDGN101A2BO2_Past	14.7913484935943	0.247627215365124	2.41424847906152	0.102569067563991	0.918304993831306	1
GCKDGN101A2BOP_Past	3.39190917524887	-3.09778351535034	2.69845667555247	-1.14798341711976	0.250975409644181	1
GCKDGN101A2FEY_Past	5.87316858695411	-0.922852245271551	1.98170386417313	-0.465686252096306	0.641440094378031	1
