baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	2.50870683650154	1.63364125289239	1.53565345638758	0.124623396004919	0.229881454356671
GCKDGN101A00ZL_Past	6.00311397157902	3.38442567101444	2.1756790743291	1.55557210203811	0.119809876915112	0.223513783916103
GCKDGN101A028J_Past	25.1147709864338	1.25588701375331	1.53570603774817	0.817791284844354	0.413476375317789	0.535029970141214
GCKDGN101A03QE_Past	3.52727809705851	0.707497995021294	2.35632639335031	0.300254666339049	0.763982909767028	0.828438487622953
GCKDGN101A03XE_Past	28.9323030991648	1.59175355674382	1.64938943993427	0.965056231236242	0.334516647871331	0.459139719236618
GCKDGN101A0607_Past	10.5796307588068	0	3.05922210146737	0	1	1
GCKDGN101A06FB_Past	10.4644071494278	4.98262536605065	1.77442410137226	2.80802394545775	0.0049846520238652	0.0259568885626255
GCKDGN101A0884_Past	30.3455961757646	6.72771363510386	1.73277310532226	3.88262814931713	0.000103333526856582	0.00147016870293557
GCKDGN101A08CL_Past	21.7359506924139	6.62050484595854	1.74918643507638	3.78490520689949	0.000153767178065128	0.00202367914679034
GCKDGN101A097A_Past	6.28101826556344	6.95474375335762	2.60874287523417	2.66593684620349	0.00767741137829389	0.0346654445032205
GCKDGN101A0KSC_Past	27.2720440179517	0.491413964003541	1.40707413331474	0.349245254651853	0.726905194227348	0.799229203382858
GCKDGN101A0LCS_Past	15.0782818046625	2.167375144727	1.43301257777984	1.51246065689452	0.130416714097422	0.237002657357224
GCKDGN101A0M5U_Past	31.9501836469538	3.02343104544555	1.42952483548776	2.11499021939969	0.0344307809223576	0.0954095444518835
GCKDGN101A0M8H_Past	817.014815457995	2.41285443892816	1.54371823187361	1.56301479707193	0.118049114440979	0.22111999523222
GCKDGN101A0P88_Past	3.0476551055852	2.17236211922336	3.28151349746628	0.662000056041423	0.507971185774411	0.618661633037796
GCKDGN101A0RO1_Past	3.55824940848606	0.670456890867131	2.75063344578461	0.243746360277345	0.807427265690686	0.862736629717873
GCKDGN101A0S0M_Past	7.75137629198386	3.42635128648425	1.7931106698905	1.9108420601242	0.0560248807451885	0.132957139582697
GCKDGN101A0S2C_Past	18.7843166354363	1.93462924410424	2.51139207601629	0.77034138260604	0.441097414721748	0.559729716282888
GCKDGN101A0SI8_Past	21.5372318982891	27.7784208323344	2.55170730714891	10.8862096975268	1.34106143921237e-27	1.63383632604673e-25
GCKDGN101A0ZFB_Past	4.37845053254971	2.09274962902319	2.19205739660664	0.954696547755921	0.339731176195697	0.464314652333825
GCKDGN101A10D0_Past	7.0327411960674	5.55267822211878	2.40196203166508	2.31172605932891	0.0207927843722177	0.0677942945032031
GCKDGN101A12VJ_Past	63.4929056277215	-0.536524506252224	1.27319334461119	-0.421400652558444	0.673462542742683	0.756689201990468
GCKDGN101A13V9_Past	45.0755676218427	-1.15535637923061	1.18626550535583	-0.97394417524098	0.330084258146806	0.454971442633218
GCKDGN101A14KT_Past	3.34746644018435	4.0279928004991	2.56694585274125	1.56917715899523	0.116606664850551	0.219304402999058
GCKDGN101A14VE_Past	17.328190496606	2.27828421910375	1.56629172334064	1.45457208587207	0.145787763515225	0.256027247541949
GCKDGN101A15QU_Past	3.29622347332627	4.02788172302139	2.36897917312329	1.70026050406808	0.0890819360315951	0.182839923325001
GCKDGN101A177T_Past	8.51464361601869	3.01139719061816	1.89651333228826	1.58785975260439	0.112318056223448	0.213845892865635
GCKDGN101A17ZT_Past	23.8903780290048	-0.720345873593749	1.35798436777796	-0.5304522575414	0.595798402195128	0.693286151611764
GCKDGN101A1Q78_Past	3.80966400544415	1.84623361082787	10.8584304848099	0.170027667756459	0.864988377725234	0.903873026949294
GCKDGN101A1T4S_Past	5.18139572919687	4.00574091450467	2.30000496059851	1.74162272826676	0.0815744816414903	0.172524997810618
GCKDGN101A1TLT_Past	10.8559880904924	5.72193094118919	1.92894550248306	2.96635178848939	0.00301355570639145	0.0185950177390513
GCKDGN101A1V7Z_Past	6.92084926661199	1.75775036975092	2.00215678882981	0.877928431757969	0.379982558673482	0.503943867776656
GCKDGN101A20KS_Past	5.87890122596942	2.09790016037443	1.7946049086559	1.16900391292571	0.242402054865729	0.364771311474344
GCKDGN101A23YI_Past	20.830535637997	2.40195197512547	1.6442076472113	1.46085683228597	0.144054735337682	0.254005104631068
GCKDGN101A2BO2_Past	14.7913484935943	1.91932244825118	2.41621133858706	0.794352057537132	0.426990506056829	0.546952367561479
GCKDGN101A2BOP_Past	3.39190917524887	6.13106878746707	2.81316820942509	2.17941777065654	0.0293006471784358	0.0852726734169406
GCKDGN101A2FEY_Past	5.87316858695411	4.03009895363402	2.02629243322896	1.98890292809905	0.0467119185238113	0.117851497546505
GCKDGN101A2K37_Past	10.9015573486738	1.50718186922097	1.58795943724332	0.9491312144833	0.342553880441576	0.467298827489698
GCKDGN101A2LIL_Past	3.81611693906338	-2.42801394409045	2.27516670900347	-1.06718067492906	0.285890257322876	0.410151080043999
GCKDGN101A2NZY_Past	6.85262506460422	5.44995072258226	2.00923222845593	2.71245436211745	0.00667869773551515	0.0317125118321445
GCKDGN101A2QVI_Past	21.4284957317886	2.58016178113566	1.56684764836683	1.64672154553446	0.0996152935642254	0.1971480789023
GCKDGN101A2R04_Past	11.5389446201177	8.54550149855348	1.84380866032914	4.63470081381873	3.57454086219306e-06	7.96376052724206e-05
GCKDGN101A2TT4_Past	9.57727288803907	3.19042426700648	1.99248221805619	1.6012309862012	0.109325768187819	0.210328156175255
