baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	2.45657671174023	1.79213903655906	1.37075118706018	0.170452532189223	0.29798619553781
GCKDGN101A00ZL_Past	6.00311397157902	1.15350737139021	2.26495457991617	0.509284990356365	0.610552477238232	0.745650983597688
GCKDGN101A028J_Past	25.1147709864338	0.204645921629443	1.60869966042365	0.127212012698225	0.898772597869583	0.940541957300412
GCKDGN101A03QE_Past	3.52727809705851	-0.527056805624413	2.45633809807822	-0.214570138384765	0.830102477764995	0.897991034456683
GCKDGN101A03XE_Past	28.9323030991648	15.4106580848471	1.86826765204411	8.24863507537904	1.60213858532951e-16	1.27356813094806e-15
GCKDGN101A0607_Past	10.5796307588068	-16.6654983969386	2.98949770995431	-5.574681773947	2.47982752014778e-08	1.13512057418194e-07
GCKDGN101A06FB_Past	10.4644071494278	2.42590664075622	1.87005656274082	1.29723704036028	0.194549639691981	0.329488773368942
GCKDGN101A0884_Past	30.3455961757646	3.6522195978407	1.80260457639403	2.02607917769003	0.0427566715035806	0.0951481861146783
GCKDGN101A08CL_Past	21.7359506924139	14.1823170056196	1.88243365146586	7.53403286993718	4.91967341945938e-14	3.23065532804669e-13
GCKDGN101A097A_Past	6.28101826556344	-2.62479864005355	2.48699323679182	-1.05541044552236	0.291237647665467	0.447053651734763
GCKDGN101A0KSC_Past	27.2720440179517	2.67774007162622	1.6012102351024	1.67232260506689	0.0944607244678867	0.185554722503619
GCKDGN101A0LCS_Past	15.0782818046625	1.73324648161718	1.56015693954669	1.11094367347479	0.266592595142471	0.418776153118752
GCKDGN101A0M5U_Past	31.9501836469538	4.8482287013373	1.64576736263564	2.94587729189928	0.00322040129053274	0.00931939605866381
GCKDGN101A0M8H_Past	817.014815457995	-9.09091509343377	1.53557675557087	-5.92019582248374	3.2155851014045e-09	1.55622755440751e-08
GCKDGN101A0P88_Past	3.0476551055852	15.7011179418735	3.34657836389346	4.69169289781894	2.70953635596925e-06	1.08475177391865e-05
GCKDGN101A0RO1_Past	3.55824940848606	1.1327775067991	2.84621266872731	0.397994682282692	0.690634105591237	0.804367208866715
GCKDGN101A0S0M_Past	7.75137629198386	14.7716392961346	1.98316631861215	7.44851259196053	9.43984220259384e-14	6.08672610879226e-13
GCKDGN101A0S2C_Past	18.7843166354363	-3.50049366878596	2.45838693764556	-1.42389857966722	0.154475833045315	0.276005342983298
GCKDGN101A0SI8_Past	21.5372318982891	4.82680947774465	2.53617792593427	1.90318251270425	0.0570167341708369	0.121441236896074
GCKDGN101A0ZFB_Past	4.37845053254971	0.370252881387666	2.29193287240619	0.161546128093601	0.871663283459402	0.924297432037991
GCKDGN101A10D0_Past	7.0327411960674	2.67240074935546	2.46388504642359	1.08462882764541	0.278086081825811	0.43257419676795
GCKDGN101A12VJ_Past	63.4929056277215	3.51736107381381	1.48896978957936	2.36227833393952	0.0181629998445704	0.0450002269508848
GCKDGN101A13V9_Past	45.0755676218427	2.56707315215548	1.41635856608645	1.81244581253783	0.069917339545895	0.144439676555857
GCKDGN101A14KT_Past	3.34746644018435	14.9039376255717	2.60551874238635	5.72014216713	1.06434958381051e-08	4.98231833489298e-08
GCKDGN101A14VE_Past	17.328190496606	3.25829524000351	1.73776012787493	1.87499712286989	0.0607931193457214	0.128233928067683
GCKDGN101A15QU_Past	3.29622347332627	0.756203756715363	2.41465767359632	0.313172241756777	0.754149806312459	0.847018909098535
GCKDGN101A177T_Past	8.51464361601869	13.5547214525124	2.07804893858698	6.52281147032526	6.90015738577549e-11	3.71366759279077e-10
GCKDGN101A17ZT_Past	23.8903780290048	1.68663115175621	1.55930039653475	1.08165890004545	0.27940412207213	0.434099376986755
