baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GCKDGN101A00AO_Past	13.2158880873824	0.566199378808821	1.63032924243913	0.347291432963401	0.728372386246162	0.937340467046405
GCKDGN101A00ZL_Past	6.00311397157902	-2.01423132983981	2.24394225936308	-0.897630641535105	0.369382497535146	0.750373293819389
GCKDGN101A028J_Past	25.1147709864338	-1.93168101576807	1.56531898072309	-1.23404944267382	0.217184480982348	0.602152861045504
GCKDGN101A03QE_Past	3.52727809705851	-1.70546857540658	2.53026143838878	-0.674028600179984	0.500293130918327	0.835253183880089
GCKDGN101A03XE_Past	28.9323030991648	-1.24605167414156	1.81001328529808	-0.68842128633125	0.491187522973982	0.830472532801422
GCKDGN101A0607_Past	10.5796307588068	0	3.05922210146747	0	1	1
GCKDGN101A06FB_Past	10.4644071494278	1.45911473149908	1.72559083203581	0.845573993794142	0.397790438415511	0.770646419775776
GCKDGN101A0884_Past	30.3455961757646	-0.0225557517344191	1.64331944092149	-0.0137257256092407	0.989048799311218	1
GCKDGN101A08CL_Past	21.7359506924139	-1.96243087984528	1.6724740671054	-1.17336999026939	0.240647466152978	0.63086229691023
GCKDGN101A097A_Past	6.28101826556344	-4.31597371114762	2.53552844063743	-1.70219889549438	0.088718089761107	0.390083709539855
GCKDGN101A0KSC_Past	27.2720440179517	-2.81882596226798	1.46549838996021	-1.92345892808829	0.0544224398436877	0.299517507727457
GCKDGN101A0LCS_Past	15.0782818046625	-0.945820084729014	1.48164964964737	-0.638356095149832	0.523241904177971	0.846279835098322
GCKDGN101A0M5U_Past	31.9501836469538	-1.26164798460524	1.43856489346716	-0.877018471905344	0.380476604999733	0.757992381453489
GCKDGN101A0M8H_Past	817.014815457995	-2.76671493644823	1.60482567941838	-1.7239971742295	0.0847083532897324	0.381788337030693
GCKDGN101A0P88_Past	3.0476551055852	-12.8804595535201	3.36410130281074	-3.82879657718938	0.000128771387150437	0.00218694062344704
GCKDGN101A0RO1_Past	3.55824940848606	-4.23900550809885	2.91426715149741	-1.45456997856932	0.145788347271931	0.501234336175701
GCKDGN101A0S0M_Past	7.75137629198386	5.0606578661581	1.91385285621548	2.64422515540993	0.00818781715120897	0.0821861491157522
GCKDGN101A0S2C_Past	18.7843166354363	0	2.56551821313838	0	1	1
GCKDGN101A0SI8_Past	21.5372318982891	-16.6570828624653	2.55626529891323	-6.51617923599202	7.21207922995686e-11	3.04089635728673e-09
GCKDGN101A0ZFB_Past	4.37845053254971	-1.90999991632209	2.46139764702499	-0.775981856743318	0.437759698530734	0.795236352171533
GCKDGN101A10D0_Past	7.0327411960674	-0.920753362523156	2.55745425104379	-0.360027305335906	0.718826714155024	0.934463994914914
GCKDGN101A12VJ_Past	63.4929056277215	-1.07996542485475	1.28780054577335	-0.838612336669117	0.401686885559382	0.773658717636891
GCKDGN101A13V9_Past	45.0755676218427	-3.05746489192073	1.30008557691972	-2.35174125934445	0.0186857676308478	0.150867858081223
GCKDGN101A14KT_Past	3.34746644018435	-3.66252013887338	2.63740327705736	-1.38868415411987	0.16492881474283	0.531205260006542
GCKDGN101A14VE_Past	17.328190496606	-0.0636379644287475	1.59553901961218	-0.0398849314535821	0.968184864502119	1
GCKDGN101A15QU_Past	3.29622347332627	-5.93840237053916	2.47177685180977	-2.40248320401222	0.0162841823500775	0.137321039358686
GCKDGN101A177T_Past	8.51464361601869	-1.77026245719087	1.87942810179493	-0.941915498390282	0.346235904609277	0.732401418248703
GCKDGN101A17ZT_Past	23.8903780290048	-0.940375193717075	1.40527391798326	-0.669175725588524	0.503383388986825	0.8366585723414
GCKDGN101A1Q78_Past	3.80966400544415	16.8015898067315	10.9251114399946	1.53788726998467	0.124076180394922	0.463618308923594
GCKDGN101A1T4S_Past	5.18139572919687	-4.91376206728963	2.41714442903881	-2.03287896588108	0.0420647526073884	0.257732899247175
GCKDGN101A1TLT_Past	10.8559880904924	-0.873569835085779	1.84571163299982	-0.473297030514985	0.636001280386795	0.900052432499452
GCKDGN101A1V7Z_Past	6.92084926661199	-2.57320994180825	2.28408257529222	-1.12658358749532	0.259918581535513	0.65199342494409
GCKDGN101A20KS_Past	5.87890122596942	-3.55177964262927	1.79302743847321	-1.98088415515474	0.0476042663779048	0.277079094321283
GCKDGN101A23YI_Past	20.830535637997	-2.60343995886366	1.66752233220009	-1.56126242425116	0.118461845568615	0.452889621753294
GCKDGN101A2BO2_Past	14.7913484935943	0.536703954593817	2.58281036938894	0.207798435748419	0.835386354048145	0.96762641050949
GCKDGN101A2BOP_Past	3.39190917524887	-3.63692572612334	2.84281079380325	-1.27934146516226	0.200776836849588	0.581625609842226
GCKDGN101A2FEY_Past	5.87316858695411	-1.7734018832732	2.06774987833013	-0.85764816231321	0.391086772008284	0.765527399113456
GCKDGN101A2K37_Past	10.9015573486738	-2.19019699021209	1.84172229004944	-1.18921131706197	0.234356522253831	0.623625983069564
GCKDGN101A2LIL_Past	3.81611693906338	0	2.59037497544269	0	1	1
GCKDGN101A2NZY_Past	6.85262506460422	1.9021400412278	1.94322409229374	0.97885779039645	0.327650250549461	0.718632556350097
GCKDGN101A2QVI_Past	21.4284957317886	0.711785534896669	1.56869223309841	0.45374453948228	0.65001270552997	0.906852344961894
GCKDGN101A2R04_Past	11.5389446201177	-13.5948252906719	1.90343292020416	-7.14226655763299	9.18043461738891e-13	5.77469294900322e-11
GCKDGN101A2TT4_Past	9.57727288803907	-2.50820824380171	2.02053194033082	-1.24136035354682	0.214472658268405	0.600116274194453
GCKDGN101A2V3C_Past	3.6976468013005	2.00757211707261	3.03227198034888	0.662068617222662	0.507927247296806	0.839461653607488
GCKDGN101A2WY5_Past	27.5715981818955	3.9870129796946	1.54785120849533	2.57583736589927	0.00999976684339204	0.0958884021917311
GCKDGN101A33CU_Past	5.70386564278099	-2.42484959813525	2.23989100962895	-1.08257481623489	0.278997190489264	0.671419837994071
GCKDGN101A33VX_Past	6.76205575433391	0.732053257647923	2.22521777338601	0.328980500876547	0.742170426500577	0.941441691271044
GCKDGN101A35AI_Past	5.20244308265903	-4.79315006751025	2.0235610697551	-2.36867082449374	0.0178521342307362	0.146487487831649
GCKDGN101A38VU_Past	43.4703576290158	-0.513211042791801	1.26369872624363	-0.406118192678197	0.684655759070364	0.920534986188745
GCKDGN101A39U8_Past	4.49942962482592	0	2.55488853349625	0	1	1
GCKDGN101A3AVK_Past	30.7145662981956	-0.211569532371756	1.38592532747983	-0.152655794779705	0.878669722724993	0.982130514542263
GCKDGN101A3EUL_Past	13.3384782879444	-2.96486942105999	1.8965047920167	-1.56333347194299	0.117974179271249	0.452091960640248
GCKDGN101A3FW4_Past	20.0382788756008	-1.58798425555689	1.48721683742546	-1.06775570017474	0.285630725732972	0.67813128607865
GCKDGN101A3GMY_Past	3.15047249243418	1.4021246519698	3.26526314363291	0.429406326624509	0.667627550453694	0.913341018799405
GCKDGN101A3LA5_Past	36.264723314004	-0.505352347189584	1.47241514568965	-0.343213222621998	0.731438057962488	0.938001384703888
