Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
20210608T1400_CBASS_US_MoteIn_Past_10_only_seq_RNASeq_R2	23786393	8328891	23786393	3567958950	3648540	3529508983	1.077646002625675
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R1	14868836	5238620	14868836	2230325400	2102938	2216459839	0.6216833202903935
20210608T1400_CBASS_US_MoteIn_Past_6_30_1140_RNASeq_R2	14868836	5218258	14868836	2230325400	2630414	2215993019	0.6426138984024484
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R1	18893374	6953813	18893374	2834006100	1318283	2683317523	5.317157821219933
20210608T1400_CBASS_US_MoteIn_Past_6_30_180_RNASeq_R2	18893374	6951131	18893374	2834006100	2327661	2682758399	5.3368869248376
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R1	16184667	5690218	16184667	2427700050	1602810	2408402657	0.7948837419186113
20210608T1400_CBASS_US_MoteIn_Past_6_30_360_RNASeq_R2	16184667	5693646	16184667	2427700050	2265593	2407895262	0.8157839762782886
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R1	18815191	6287418	18815191	2822278650	886056	2803932332	0.6500533885978977
20210608T1400_CBASS_US_MoteIn_Past_6_30_420_RNASeq_R2	18815191	6321298	18815191	2822278650	1590457	2803141576	0.6780717417821235
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R1	11254012	3800883	11254012	1688101800	954278	1677838913	0.6079542714781775
20210608T1400_CBASS_US_MoteIn_Past_6_30_750_RNASeq_R2	11254012	3791117	11254012	1688101800	1333549	1677533629	0.6260387258635706
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R1	18639142	6271343	18639142	2795871300	1566710	2781325536	0.5202587114793159
20210608T1400_CBASS_US_MoteIn_Past_6_34_1140_RNASeq_R2	18639142	6249626	18639142	2795871300	2243115	2780665360	0.5438712432864846
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R1	19958286	7291469	19958286	2993742900	1744612	2883889296	3.6694401513236157
20210608T1400_CBASS_US_MoteIn_Past_6_34_180_RNASeq_R2	19958286	7298651	19958286	2993742900	2644794	2885477830	3.6163783469849733
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R1	15285666	5090908	15285666	2292849900	1822028	2275645113	0.7503669123739849
20210608T1400_CBASS_US_MoteIn_Past_6_34_360_RNASeq_R2	15285666	5097847	15285666	2292849900	2286204	2275199441	0.7698043818742779
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R1	15363724	5345481	15363724	2304558600	1387846	2285519077	0.8261678830818189
20210608T1400_CBASS_US_MoteIn_Past_6_34_420_RNASeq_R2	15363724	5336565	15363724	2304558600	1866831	2285266960	0.8371078088446091
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R1	16706521	5800494	16706521	2505978150	1971755	2488097410	0.7135233800821448
20210608T1400_CBASS_US_MoteIn_Past_6_34_750_RNASeq_R2	16706521	5781250	16706521	2505978150	2042485	2488109929	0.7130238146729253
20210608T1400_CBASS_US_MoteIn_Past_6_37_1140_RNASeq_R1	18033390	6120590	18033390	2705008500	2305234	2663925184	1.5187869465105193
