Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_R1	17613389	6966804	17613389	2642008350	1562397	2491900345	5.681587077497314
20210608T1400_CBASS_US_MoteIn_Past_9_34_180_RNASeq_R2	17613389	6966517	17613389	2642008350	2339337	2491401051	5.700485352364613
20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_R1	18894212	6550671	18894212	2834131800	2216413	2818136007	0.5643983459061431
20210608T1400_CBASS_US_MoteIn_Past_9_34_360_RNASeq_R2	18894212	6594564	18894212	2834131800	3006575	2817334512	0.5926784350678398
20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_R1	17035672	6055699	17035672	2555350800	1881782	2536132071	0.7520974810973116
20210608T1400_CBASS_US_MoteIn_Past_9_34_420_RNASeq_R2	17035672	6030335	17035672	2555350800	2465705	2535702537	0.7689066800534784
20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_R1	18113118	6110677	18113118	2716967700	1574761	2701949161	0.5527684042765765
20210608T1400_CBASS_US_MoteIn_Past_9_34_750_RNASeq_R2	18113118	6093259	18113118	2716967700	2190576	2701430800	0.5718470631800296
20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_R1	19350999	6587986	19350999	2902649850	3071681	2872204494	1.0488814556809187
20210608T1400_CBASS_US_MoteIn_Past_9_37_1140_RNASeq_R2	19350999	6572361	19350999	2902649850	2698832	2872905894	1.0247173285472237
20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_R1	17480245	6244419	17480245	2622036750	1567715	2536188712	3.274097435895969
20210608T1400_CBASS_US_MoteIn_Past_9_37_180_RNASeq_R2	17480245	6259913	17480245	2622036750	2350235	2535507103	3.300092838134324
20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_R1	17730953	6013982	17730953	2659642950	1764918	2645200124	0.5430362748503517
20210608T1400_CBASS_US_MoteIn_Past_9_37_360_RNASeq_R2	17730953	6001782	17730953	2659642950	2318414	2644791840	0.558387357972242
20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_R1	13325042	4868838	13325042	1998756300	1832234	1983382153	0.7691856681077128
20210608T1400_CBASS_US_MoteIn_Past_9_37_420_RNASeq_R2	13325042	4847334	13325042	1998756300	2011181	1983344819	0.771053529637405
20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_R1	20350035	7332498	20350035	3052505250	3023401	3033616999	0.6187786573012446
20210608T1400_CBASS_US_MoteIn_Past_9_37_750_RNASeq_R2	20350035	7322869	20350035	3052505250	3488455	3033212692	0.6320237450861059
20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_R1	19852042	10154034	19852042	2977806300	1565255	2326323674	21.87793833332947
20210608T1400_CBASS_US_MoteIn_Past_9_39_1140_RNASeq_R2	19852042	10137287	19852042	2977806300	2505427	2326998908	21.85526278186731
20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_R1	20483182	12545621	20483182	3072477300	1704589	2014620438	34.43009528500015
20210608T1400_CBASS_US_MoteIn_Past_9_39_180_RNASeq_R2	20483182	12550485	20483182	3072477300	3704603	2014533599	34.432921636231455
20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_R1	15258264	5085253	15258264	2288739600	1195892	2266786465	0.9591801094366523
20210608T1400_CBASS_US_MoteIn_Past_9_39_360_RNASeq_R2	15258264	5081613	15258264	2288739600	2119242	2267022110	0.9488842680049754
20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_R1	9003667	3333708	9003667	1350550050	2035544	1280299853	5.201598933708529
20210608T1400_CBASS_US_MoteIn_Past_9_39_420_RNASeq_R2	9003667	3288180	9003667	1350550050	1604598	1282268752	5.055813962614714
20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_R1	19645725	7854386	19645725	2946858750	6570306	2918563631	0.9601790041684217
20210608T1400_CBASS_US_MoteIn_Past_9_39_750_RNASeq_R2	19645725	7534420	19645725	2946858750	9460190	2916063873	1.0450068908121233
20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_R1	20654438	7456943	20654438	3098165700	2606705	3045997157	1.6838525776720077
20210608T1400_CBASS_US_MoteIn_Past_9_T0_0_RNASeq_R2	20654438	7476134	20654438	3098165700	3365287	3045263921	1.7075193557271648
20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_R1	16645779	5887226	16645779	2496866850	1747911	2458753637	1.5264415481346152
20210608T1400_CBASS_US_MoteIn_Past_9_only_seq_RNASeq_R2	16645779	5905888	16645779	2496866850	2513927	2459245903	1.5067261996770074
20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_R1	21799117	8749532	21799117	3269867550	1476387	2947682910	9.853140381787023
20210610T1400_CBASS_US_MoteOff_Past_1_30_1140_RNASeq_R2	21799117	8734828	21799117	3269867550	2392533	2947361431	9.862971942089825
20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_R1	13807436	4706499	13807436	2071115400	1078000	2055423695	0.757645131700532
20210610T1400_CBASS_US_MoteOff_Past_1_30_180_RNASeq_R2	13807436	4691467	13807436	2071115400	1568191	2055048565	0.7757575941929649
20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_R1	22680673	9472010	22680673	3402100950	2833120	3100231538	8.873029238006591
20210610T1400_CBASS_US_MoteOff_Past_1_30_360_RNASeq_R2	22680673	9443524	22680673	3402100950	4184144	3100081434	8.877441335184367
20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_R1	10663994	3647504	10663994	1599599100	1627607	1580498659	1.1940767533565129
20210610T1400_CBASS_US_MoteOff_Past_1_30_420_RNASeq_R2	10663994	3647978	10663994	1599599100	1791803	1580439722	1.1977612390504595
20210610T1400_CBASS_US_MoteOff_Past_1_30_750_RNASeq_R1	21954689	9663781	21954689	3293203350	1673644	2767372355	15.96715839002168
20210610T1400_CBASS_US_MoteOff_Past_1_30_750_RNASeq_R2	21954689	9656591	21954689	3293203350	2170252	2767248767	15.970911210205102
20210610T1400_CBASS_US_MoteOff_Past_1_34_1140_RNASeq_R1	22988282	8418484	22988282	3448242300	1597431	3327848912	3.4914422342072657
20210610T1400_CBASS_US_MoteOff_Past_1_34_1140_RNASeq_R2	22988282	8412303	22988282	3448242300	2471910	3327087015	3.5135374622601203
20210610T1400_CBASS_US_MoteOff_Past_1_34_180_RNASeq_R1	15614902	5668108	15614902	2342235300	1341279	2255995501	3.6819442948366463
20210610T1400_CBASS_US_MoteOff_Past_1_34_180_RNASeq_R2	15614902	5659676	15614902	2342235300	1962180	2255563880	3.700372033501502
20210610T1400_CBASS_US_MoteOff_Past_1_34_360_RNASeq_R1	18590652	7808812	18590652	2788597800	1750465	2507035329	10.096919354953231
20210610T1400_CBASS_US_MoteOff_Past_1_34_360_RNASeq_R2	18590652	7795939	18590652	2788597800	2186216	2507260366	10.088849456884747
20210610T1400_CBASS_US_MoteOff_Past_1_34_420_RNASeq_R1	22665325	7121504	22665325	3399798750	2528822	3348546403	1.5075112019498214
20210610T1400_CBASS_US_MoteOff_Past_1_34_420_RNASeq_R2	22665325	7128839	22665325	3399798750	2395229	3350105436	1.4616545758774693
20210610T1400_CBASS_US_MoteOff_Past_1_34_750_RNASeq_R1	16345147	6034494	16345147	2451772050	1607980	2331330638	4.9124229146832805
20210610T1400_CBASS_US_MoteOff_Past_1_34_750_RNASeq_R2	16345147	6015687	16345147	2451772050	1787553	2331342048	4.911957536998597
20210610T1400_CBASS_US_MoteOff_Past_1_37_1140_RNASeq_R1	14993854	6153156	14993854	2249078100	1486001	2043203138	9.15374890716334
20210610T1400_CBASS_US_MoteOff_Past_1_37_1140_RNASeq_R2	14993854	6176136	14993854	2249078100	2277460	2042432451	9.188015702967363
20210610T1400_CBASS_US_MoteOff_Past_1_37_180_RNASeq_R1	20740891	8556825	20740891	3111133650	2012944	2804740481	9.848280513439208
20210610T1400_CBASS_US_MoteOff_Past_1_37_180_RNASeq_R2	20740891	8532237	20740891	3111133650	2956519	2804414517	9.858757851820348
20210610T1400_CBASS_US_MoteOff_Past_1_37_360_RNASeq_R1	13542635	4974357	13542635	2031395250	2819858	1957858588	3.6200075785349997
20210610T1400_CBASS_US_MoteOff_Past_1_37_360_RNASeq_R2	13542635	4947721	13542635	2031395250	3053565	1958923611	3.567579426012737
20210610T1400_CBASS_US_MoteOff_Past_1_37_420_RNASeq_R1	17557729	6013847	17557729	2633659350	2395633	2614731068	0.7187065403883763
20210610T1400_CBASS_US_MoteOff_Past_1_37_420_RNASeq_R2	17557729	5996862	17557729	2633659350	2026762	2615281525	0.6978056976123355
20210610T1400_CBASS_US_MoteOff_Past_1_37_750_RNASeq_R1	16838668	6009589	16838668	2525800200	2460002	2454020766	2.8418492484084847
20210610T1400_CBASS_US_MoteOff_Past_1_37_750_RNASeq_R2	16838668	5988777	16838668	2525800200	2258466	2454449425	2.8248780327121676
20210610T1400_CBASS_US_MoteOff_Past_1_39_1140_RNASeq_R1	16306519	8003094	16306519	2445977850	1792040	1981010066	19.00948465252864
20210610T1400_CBASS_US_MoteOff_Past_1_39_1140_RNASeq_R2	16306519	8016983	16306519	2445977850	2963754	1980070004	19.047917625255685
20210610T1400_CBASS_US_MoteOff_Past_1_39_180_RNASeq_R1	15041362	5569210	15041362	2256204300	1279676	2150357957	4.691345681771815
20210610T1400_CBASS_US_MoteOff_Past_1_39_180_RNASeq_R2	15041362	5552731	15041362	2256204300	1713008	2150150262	4.700551186787473
20210610T1400_CBASS_US_MoteOff_Past_1_39_360_RNASeq_R1	13164440	4887989	13164440	1974666000	2682753	1951877259	1.1540554706466815
20210610T1400_CBASS_US_MoteOff_Past_1_39_360_RNASeq_R2	13164440	4873894	13164440	1974666000	1954938	1952630626	1.1159038541201398
20210610T1400_CBASS_US_MoteOff_Past_1_39_420_RNASeq_R1	15472773	5622973	15472773	2320915950	2596141	2285644596	1.519716989320531
20210610T1400_CBASS_US_MoteOff_Past_1_39_420_RNASeq_R2	15472773	5596632	15472773	2320915950	2201314	2286216064	1.4950944690608032
20210610T1400_CBASS_US_MoteOff_Past_1_39_750_RNASeq_R1	28660127	16361067	28660127	4299019050	2894735	3058057248	28.866161967809845
20210610T1400_CBASS_US_MoteOff_Past_1_39_750_RNASeq_R2	28660127	16355645	28660127	4299019050	3520351	3058055309	28.866207071122425
20210610T1400_CBASS_US_MoteOff_Past_1_T0_0_RNASeq_R1	16772894	5751539	16772894	2515934100	1331095	2470253104	1.8156674294449924
20210610T1400_CBASS_US_MoteOff_Past_1_T0_0_RNASeq_R2	16772894	5726471	16772894	2515934100	1864718	2469989893	1.8261291899497687
20210610T1400_CBASS_US_MoteOff_Past_1_only_seq_RNASeq_R1	19510975	6517338	19510975	2926646250	2121679	2848740478	2.661946998206565
20210610T1400_CBASS_US_MoteOff_Past_1_only_seq_RNASeq_R2	19510975	6494931	19510975	2926646250	2349135	2848728098	2.6623700079912287
20210610T1400_CBASS_US_MoteOff_Past_2_30_1140_RNASeq_R1	21065196	7515591	21065196	3159779400	1853868	3102782897	1.8038127281923542
20210610T1400_CBASS_US_MoteOff_Past_2_30_1140_RNASeq_R2	21065196	7498966	21065196	3159779400	2725987	3102094729	1.825591716940746
20210610T1400_CBASS_US_MoteOff_Past_2_30_180_RNASeq_R1	18723572	6616732	18723572	2808535800	2070825	2784940037	0.8401446404920314
20210610T1400_CBASS_US_MoteOff_Past_2_30_180_RNASeq_R2	18723572	6610452	18723572	2808535800	2780243	2784366781	0.860555845504978
20210610T1400_CBASS_US_MoteOff_Past_2_30_360_RNASeq_R1	18360974	7379377	18360974	2754146100	2166935	2575989771	6.468659342363864
20210610T1400_CBASS_US_MoteOff_Past_2_30_360_RNASeq_R2	18360974	7342988	18360974	2754146100	2979981	2575694361	6.479385352868536
20210610T1400_CBASS_US_MoteOff_Past_2_30_420_RNASeq_R1	17236670	5661354	17236670	2585500500	1629406	2569027118	0.6371448003974471
20210610T1400_CBASS_US_MoteOff_Past_2_30_420_RNASeq_R2	17236670	5637810	17236670	2585500500	1792598	2569121473	0.6334954102696944
20210610T1400_CBASS_US_MoteOff_Past_2_30_750_RNASeq_R1	20661724	7213132	20661724	3099258600	2322054	3022177927	2.4870681330044544
20210610T1400_CBASS_US_MoteOff_Past_2_30_750_RNASeq_R2	20661724	7196918	20661724	3099258600	2381814	3022303165	2.483027231093269
20210610T1400_CBASS_US_MoteOff_Past_2_34_1140_RNASeq_R1	15403927	6079930	15403927	2310589050	1234039	2141730627	7.308024895210163
20210610T1400_CBASS_US_MoteOff_Past_2_34_1140_RNASeq_R2	15403927	6093730	15403927	2310589050	2114499	2140941737	7.34216727115538
20210610T1400_CBASS_US_MoteOff_Past_2_34_180_RNASeq_R1	16972460	6063618	16972460	2545869000	1573722	2516791431	1.1421471018343834
20210610T1400_CBASS_US_MoteOff_Past_2_34_180_RNASeq_R2	16972460	6037011	16972460	2545869000	2057788	2516459856	1.1551711419558508
20210610T1400_CBASS_US_MoteOff_Past_2_34_360_RNASeq_R1	20995237	8923833	20995237	3149285550	1800326	2810076733	10.770976833142361
20210610T1400_CBASS_US_MoteOff_Past_2_34_360_RNASeq_R2	20995237	8917203	20995237	3149285550	2503943	2810085360	10.770702897995388
20210610T1400_CBASS_US_MoteOff_Past_2_34_420_RNASeq_R1	18607000	6193584	18607000	2791050000	1900477	2772288569	0.6721997456154494
20210610T1400_CBASS_US_MoteOff_Past_2_34_420_RNASeq_R2	18607000	6168045	18607000	2791050000	1926276	2772451792	0.6663516597696207
20210610T1400_CBASS_US_MoteOff_Past_2_34_750_RNASeq_R1	15671042	5391960	15671042	2350656300	1673932	2328894418	0.9257789835119665
20210610T1400_CBASS_US_MoteOff_Past_2_34_750_RNASeq_R2	15671042	5370200	15671042	2350656300	1785988	2328924423	0.924502531484505
20210610T1400_CBASS_US_MoteOff_Past_2_37_1140_RNASeq_R1	13957328	5534716	13957328	2093599200	1438556	1942708653	7.2072317853388554
20210610T1400_CBASS_US_MoteOff_Past_2_37_1140_RNASeq_R2	13957328	5552777	13957328	2093599200	2213596	1942022408	7.240010026752016
20210610T1400_CBASS_US_MoteOff_Past_2_37_180_RNASeq_R1	17707398	6793516	17707398	2656109700	1282654	2482218853	6.54682474146305
20210610T1400_CBASS_US_MoteOff_Past_2_37_180_RNASeq_R2	17707398	6759785	17707398	2656109700	2072897	2481642586	6.568520645062213
20210610T1400_CBASS_US_MoteOff_Past_2_37_360_RNASeq_R1	12828318	4439826	12828318	1924247700	1405773	1907548557	0.8678270993905826
20210610T1400_CBASS_US_MoteOff_Past_2_37_360_RNASeq_R2	12828318	4441543	12828318	1924247700	1316127	1907753822	0.8571598136767944
20210610T1400_CBASS_US_MoteOff_Past_2_37_420_RNASeq_R1	15342280	5153167	15342280	2301342000	1975236	2283605599	0.7706981839292031
20210610T1400_CBASS_US_MoteOff_Past_2_37_420_RNASeq_R2	15342280	5141327	15342280	2301342000	1871496	2283961574	0.7552300353445945
20210610T1400_CBASS_US_MoteOff_Past_2_37_750_RNASeq_R1	24946278	9399245	24946278	3741941700	2859709	3520536253	5.916859875181914
20210610T1400_CBASS_US_MoteOff_Past_2_37_750_RNASeq_R2	24946278	9370337	24946278	3741941700	2922385	3521024913	5.903800879634229
20210610T1400_CBASS_US_MoteOff_Past_2_39_1140_RNASeq_R1	16297605	7751483	16297605	2444640750	2219856	2065719423	15.500082251349202
20210610T1400_CBASS_US_MoteOff_Past_2_39_1140_RNASeq_R2	16297605	7706115	16297605	2444640750	3293447	2064553761	15.547764594859185
20210610T1400_CBASS_US_MoteOff_Past_2_39_180_RNASeq_R1	19979754	8643846	19979754	2996963100	2217849	2661926894	11.179190227600735
20210610T1400_CBASS_US_MoteOff_Past_2_39_180_RNASeq_R2	19979754	8540306	19979754	2996963100	3293497	2661701977	11.186695058073955
20210610T1400_CBASS_US_MoteOff_Past_2_39_360_RNASeq_R1	14457457	5314851	14457457	2168618550	2657816	2133080142	1.6387579088078905
20210610T1400_CBASS_US_MoteOff_Past_2_39_360_RNASeq_R2	14457457	5267925	14457457	2168618550	2420038	2133886136	1.6015916676540465
20210610T1400_CBASS_US_MoteOff_Past_2_39_420_RNASeq_R1	20093618	7255664	20093618	3014042700	2132113	2962788563	1.700511309942623
20210610T1400_CBASS_US_MoteOff_Past_2_39_420_RNASeq_R2	20093618	7226388	20093618	3014042700	2814544	2962408546	1.713119525479848
20210610T1400_CBASS_US_MoteOff_Past_2_39_750_RNASeq_R1	23123038	10899753	23123038	3468455700	2714127	3000083902	13.50375609525588
20210610T1400_CBASS_US_MoteOff_Past_2_39_750_RNASeq_R2	23123038	10818879	23123038	3468455700	4196658	2999402597	13.523398987047752
20210610T1400_CBASS_US_MoteOff_Past_2_T0_0_RNASeq_R1	22064006	8778934	22064006	3309600900	2891929	3027356277	8.528056147192853
20210610T1400_CBASS_US_MoteOff_Past_2_T0_0_RNASeq_R2	22064006	8764105	22064006	3309600900	4155470	3027721339	8.517025753769888
20210610T1400_CBASS_US_MoteOff_Past_2_only_seq_RNASeq_R1	19200823	6904227	19200823	2880123450	2067372	2835605598	1.5456924945352601
20210610T1400_CBASS_US_MoteOff_Past_2_only_seq_RNASeq_R2	19200823	6859469	19200823	2880123450	2736541	2835266043	1.5574820933456863
20210610T1400_CBASS_US_MoteOff_Past_3_30_1140_RNASeq_R1	19518836	8249030	19518836	2927825400	1036332	2586222653	11.667456228776484
20210610T1400_CBASS_US_MoteOff_Past_3_30_1140_RNASeq_R2	19518836	8238209	19518836	2927825400	1835749	2585756760	11.68336882383765
20210610T1400_CBASS_US_MoteOff_Past_3_30_180_RNASeq_R1	17949148	6098644	17949148	2692372200	1365832	2674476283	0.6646895626095084
20210610T1400_CBASS_US_MoteOff_Past_3_30_180_RNASeq_R2	17949148	6085391	17949148	2692372200	1972771	2674045183	0.6807014646786206
20210610T1400_CBASS_US_MoteOff_Past_3_30_360_RNASeq_R1	20184585	10318319	20184585	3027687750	2066566	2421748638	20.013262992526226
20210610T1400_CBASS_US_MoteOff_Past_3_30_360_RNASeq_R2	20184585	10309613	20184585	3027687750	3432763	2421047997	20.036404117300403
20210610T1400_CBASS_US_MoteOff_Past_3_30_420_RNASeq_R1	15726560	5377482	15726560	2358984000	1989506	2344909152	0.5966487267399864
20210610T1400_CBASS_US_MoteOff_Past_3_30_420_RNASeq_R2	15726560	5355471	15726560	2358984000	2046303	2344950777	0.5948841959080688
20210610T1400_CBASS_US_MoteOff_Past_3_30_750_RNASeq_R1	17921653	6348468	17921653	2688247950	2057013	2556276169	4.9092116298275235
20210610T1400_CBASS_US_MoteOff_Past_3_30_750_RNASeq_R2	17921653	6330068	17921653	2688247950	1949871	2556676161	4.894332347579768
20210610T1400_CBASS_US_MoteOff_Past_3_34_1140_RNASeq_R1	14853359	6673635	14853359	2228003850	1139463	1924799374	13.608794975825559
20210610T1400_CBASS_US_MoteOff_Past_3_34_1140_RNASeq_R2	14853359	6686717	14853359	2228003850	2022544	1924052219	13.642329702437452
20210610T1400_CBASS_US_MoteOff_Past_3_34_180_RNASeq_R1	19652290	8630719	19652290	2947843500	1588405	2584561994	12.323636108904696
20210610T1400_CBASS_US_MoteOff_Past_3_34_180_RNASeq_R2	19652290	8622238	19652290	2947843500	2129589	2584196726	12.336027133055062
20210610T1400_CBASS_US_MoteOff_Past_3_34_360_RNASeq_R1	14457047	5423626	14457047	2168557050	1199482	2087166970	3.753190629686224
20210610T1400_CBASS_US_MoteOff_Past_3_34_360_RNASeq_R2	14457047	5413186	14457047	2168557050	1696449	2086829932	3.768732669495598
20210610T1400_CBASS_US_MoteOff_Past_3_34_420_RNASeq_R1	19222841	6212552	19222841	2883426150	2139801	2863513483	0.6905904976966377
20210610T1400_CBASS_US_MoteOff_Past_3_34_420_RNASeq_R2	19222841	6195918	19222841	2883426150	2042636	2863619577	0.686911055447007
20210610T1400_CBASS_US_MoteOff_Past_3_34_750_RNASeq_R1	12798437	6083895	12798437	1919765550	1185255	1561983182	18.636774058165592
20210610T1400_CBASS_US_MoteOff_Past_3_34_750_RNASeq_R2	12798437	6070393	12798437	1919765550	1554520	1562395829	18.61527940221659
20210610T1400_CBASS_US_MoteOff_Past_3_37_1140_RNASeq_R1	15414277	6789424	15414277	2312141550	1490061	2013302751	12.924762283693228
20210610T1400_CBASS_US_MoteOff_Past_3_37_1140_RNASeq_R2	15414277	6806568	15414277	2312141550	2382604	2012467806	12.960873610873866
20210610T1400_CBASS_US_MoteOff_Past_3_37_180_RNASeq_R1	15596017	5720030	15596017	2339402550	1669318	2317650824	0.9297983367591013
20210610T1400_CBASS_US_MoteOff_Past_3_37_180_RNASeq_R2	15596017	5701269	15596017	2339402550	2149517	2317191954	0.9494131738892051
20210610T1400_CBASS_US_MoteOff_Past_3_37_360_RNASeq_R1	14291607	4960190	14291607	2143741050	1947724	2122618893	0.9852942359806004
20210610T1400_CBASS_US_MoteOff_Past_3_37_360_RNASeq_R2	14291607	4940321	14291607	2143741050	1722736	2123061710	0.9646379631532457
20210610T1400_CBASS_US_MoteOff_Past_3_37_420_RNASeq_R1	23387116	17481135	23387116	3508067400	1046869	1894197909	46.00451778663089
20210610T1400_CBASS_US_MoteOff_Past_3_37_420_RNASeq_R2	23387116	17478990	23387116	3508067400	3308961	1893764924	46.01686033740401
20210610T1400_CBASS_US_MoteOff_Past_3_37_750_RNASeq_R1	20466469	7360922	20466469	3069970350	2642452	2977170449	3.0228272725826164
20210610T1400_CBASS_US_MoteOff_Past_3_37_750_RNASeq_R2	20466469	7321395	20466469	3069970350	2469576	2977612307	3.0084343648465532
20210610T1400_CBASS_US_MoteOff_Past_3_39_1140_RNASeq_R1	18857237	7975207	18857237	2828585550	2128529	2516996333	11.015725403815345
20210610T1400_CBASS_US_MoteOff_Past_3_39_1140_RNASeq_R2	18857237	7986961	18857237	2828585550	2966232	2516199578	11.043893369249517
20210610T1400_CBASS_US_MoteOff_Past_3_39_180_RNASeq_R1	15291333	6089344	15291333	2293699950	1592672	2234212347	2.59352157199114
20210610T1400_CBASS_US_MoteOff_Past_3_39_180_RNASeq_R2	15291333	6075421	15291333	2293699950	2051918	2233846152	2.6094868249877234
20210610T1400_CBASS_US_MoteOff_Past_3_39_360_RNASeq_R1	14519706	5510130	14519706	2177955900	3201168	2143504914	1.5818036536001487
20210610T1400_CBASS_US_MoteOff_Past_3_39_360_RNASeq_R2	14519706	5496416	14519706	2177955900	2324685	2145060427	1.5103828778167638
20210610T1400_CBASS_US_MoteOff_Past_3_39_420_RNASeq_R1	21966433	8377738	21966433	3294964950	2865889	3188194104	3.240424332890096
20210610T1400_CBASS_US_MoteOff_Past_3_39_420_RNASeq_R2	21966433	8362366	21966433	3294964950	3856685	3187622117	3.2577837588226846
20210610T1400_CBASS_US_MoteOff_Past_3_39_750_RNASeq_R1	32696507	30761733	32696507	4904476050	824127	1180097451	75.93835836959587
20210610T1400_CBASS_US_MoteOff_Past_3_39_750_RNASeq_R2	32696507	30765175	32696507	4904476050	5865313	1179912252	75.94213449161404
20210610T1400_CBASS_US_MoteOff_Past_3_T0_0_RNASeq_R1	19211691	6436900	19211691	2881753650	1366548	2845969833	1.2417375440818823
20210610T1400_CBASS_US_MoteOff_Past_3_T0_0_RNASeq_R2	19211691	6401412	19211691	2881753650	2183678	2845462422	1.25934526013353
20210610T1400_CBASS_US_MoteOff_Past_3_only_seq_RNASeq_R1	19736817	6917334	19736817	2960522550	2025330	2931136286	0.9926039577033453
20210610T1400_CBASS_US_MoteOff_Past_3_only_seq_RNASeq_R2	19736817	6889896	19736817	2960522550	2567962	2930891985	1.0008559130887213
20210610T1400_CBASS_US_MoteOff_Past_4_30_1140_RNASeq_R1	26525910	10131145	26525910	3978886500	1813579	3736895394	6.081880093840324
20210610T1400_CBASS_US_MoteOff_Past_4_30_1140_RNASeq_R2	26525910	10113684	26525910	3978886500	2953855	3736051339	6.103093440840798
20210610T1400_CBASS_US_MoteOff_Past_4_30_180_RNASeq_R1	17885491	6109697	17885491	2682823650	1286671	2660678466	0.8254431483038402
20210610T1400_CBASS_US_MoteOff_Past_4_30_180_RNASeq_R2	17885491	6096046	17885491	2682823650	1859258	2660284525	0.8401269684647368
20210610T1400_CBASS_US_MoteOff_Past_4_30_360_RNASeq_R1	17629286	7982849	17629286	2644392900	1318777	2279424207	13.801606145592057
20210610T1400_CBASS_US_MoteOff_Past_4_30_360_RNASeq_R2	17629286	7978714	17629286	2644392900	2133724	2278837591	13.823789535964949
20210610T1400_CBASS_US_MoteOff_Past_4_30_420_RNASeq_R1	12061441	3864541	12061441	1809216150	1233977	1797739474	0.6343452107698685
20210610T1400_CBASS_US_MoteOff_Past_4_30_420_RNASeq_R2	12061441	3853691	12061441	1809216150	1205341	1797918513	0.6244492677118763
20210610T1400_CBASS_US_MoteOff_Past_4_30_750_RNASeq_R1	14746341	5104314	14746341	2211951150	1550822	2181233874	1.3886959483711925
20210610T1400_CBASS_US_MoteOff_Past_4_30_750_RNASeq_R2	14746341	5087162	14746341	2211951150	1603610	2181257754	1.38761635852582
20210610T1400_CBASS_US_MoteOff_Past_4_34_1140_RNASeq_R1	15097962	6889114	15097962	2264694300	1040823	1911855635	15.579968784307887
20210610T1400_CBASS_US_MoteOff_Past_4_34_1140_RNASeq_R2	15097962	6911924	15097962	2264694300	1916358	1911068619	15.614720317881314
20210610T1400_CBASS_US_MoteOff_Past_4_34_180_RNASeq_R1	14829232	5115463	14829232	2224384800	1149699	2189525871	1.567126739941758
20210610T1400_CBASS_US_MoteOff_Past_4_34_180_RNASeq_R2	14829232	5108925	14829232	2224384800	1579746	2189282764	1.578055919101767
20210610T1400_CBASS_US_MoteOff_Past_4_34_360_RNASeq_R1	15361005	5211491	15361005	2304150750	1868363	2274770582	1.2750974735485514
20210610T1400_CBASS_US_MoteOff_Past_4_34_360_RNASeq_R2	15361005	5217906	15361005	2304150750	2440367	2274454959	1.288795492222026
20210610T1400_CBASS_US_MoteOff_Past_4_34_420_RNASeq_R1	18693360	5895444	18693360	2804004000	2726049	2773586044	1.0848043012777442
20210610T1400_CBASS_US_MoteOff_Past_4_34_420_RNASeq_R2	18693360	5880018	18693360	2804004000	2158323	2774344100	1.057769532425774
20210610T1400_CBASS_US_MoteOff_Past_4_34_750_RNASeq_R1	16660157	5748946	16660157	2499023550	1661159	2453698300	1.8137184021335053
20210610T1400_CBASS_US_MoteOff_Past_4_34_750_RNASeq_R2	16660157	5724283	16660157	2499023550	1777278	2453749388	1.8116740836635974
20210610T1400_CBASS_US_MoteOff_Past_4_37_1140_RNASeq_R1	18143980	8156748	18143980	2721597000	1862415	2331779614	14.323111981678405
20210610T1400_CBASS_US_MoteOff_Past_4_37_1140_RNASeq_R2	18143980	8164889	18143980	2721597000	3139293	2330690364	14.363134439081172
20210610T1400_CBASS_US_MoteOff_Past_4_37_180_RNASeq_R1	19435608	7759229	19435608	2915341200	1461557	2639475091	9.462566817221942
20210610T1400_CBASS_US_MoteOff_Past_4_37_180_RNASeq_R2	19435608	7744163	19435608	2915341200	2199348	2639107952	9.475160163071134
20210610T1400_CBASS_US_MoteOff_Past_4_37_360_RNASeq_R1	19346245	6878736	19346245	2901936750	2691360	2878449468	0.8093657451355547
20210610T1400_CBASS_US_MoteOff_Past_4_37_360_RNASeq_R2	19346245	6834662	19346245	2901936750	2565405	2878803602	0.7971623778498962
20210610T1400_CBASS_US_MoteOff_Past_4_37_420_RNASeq_R1	17667643	6173177	17667643	2650146450	2203202	2589470423	2.289534867025934
