Old_name	New_name
"R100_1.fq.gz"	"IPa10-L-T5_1.fq.gz"
"R101_1.fq.gz"	"IPa06-M-T5_1.fq.gz"
"R10_1.fq.gz"	"IPa10-C-T0_1.fq.gz"
"R102_1.fq.gz"	"IPa07-M-T5_1.fq.gz"
"R103_1.fq.gz"	"IPa08-M-T5_1.fq.gz"
"R104_1.fq.gz"	"IPa09-M-T5_1.fq.gz"
"R105_1.fq.gz"	"IPa10-M-T5_1.fq.gz"
"R106_1.fq.gz"	"IPa06-H-T5_1.fq.gz"
"R107_1.fq.gz"	"IPa07-H-T5_1.fq.gz"
"R108_1.fq.gz"	"IPa08-H-T5_1.fq.gz"
"R109_1.fq.gz"	"IPa09-H-T5_1.fq.gz"
"R110_1.fq.gz"	"IPa10-H-T5_1.fq.gz"
"R11_1.fq.gz"	"IPa06-C-T1_1.fq.gz"
"R1_1.fq.gz"	"IPa06-C-TF_1.fq.gz"
"R12_1.fq.gz"	"IPa07-C-T1_1.fq.gz"
"R13_1.fq.gz"	"IPa08-C-T1_1.fq.gz"
"R14_1.fq.gz"	"IPa09-C-T1_1.fq.gz"
"R15_1.fq.gz"	"IPa10-C-T1_1.fq.gz"
"R16_1.fq.gz"	"IPa06-L-T1_1.fq.gz"
"R17_1.fq.gz"	"IPa07-L-T1_1.fq.gz"
"R18_1.fq.gz"	"IPa08-L-T1_1.fq.gz"
"R19_1.fq.gz"	"IPa09-L-T1_1.fq.gz"
"R20_1.fq.gz"	"IPa10-L-T1_1.fq.gz"
"R21_1.fq.gz"	"IPa06-M-T1_1.fq.gz"
"R2_1.fq.gz"	"IPa07-C-TF_1.fq.gz"
"R22_1.fq.gz"	"IPa07-M-T1_1.fq.gz"
"R23_1.fq.gz"	"IPa08-M-T1_1.fq.gz"
"R24_1.fq.gz"	"IPa09-M-T1_1.fq.gz"
"R25_1.fq.gz"	"IPa10-M-T1_1.fq.gz"
"R26_1.fq.gz"	"IPa06-H-T1_1.fq.gz"
"R27_1.fq.gz"	"IPa07-H-T1_1.fq.gz"
"R272_1.fq.gz"	"OPa-01-C-TF_1.fq.gz"
"R273_1.fq.gz"	"OPa-02-C-TF_1.fq.gz"
"R274_1.fq.gz"	"OPa-03-C-TF_1.fq.gz"
"R275_1.fq.gz"	"OPa-04-C-TF_1.fq.gz"
"R276_1.fq.gz"	"OPa-05-C-TF_1.fq.gz"
"R277_1.fq.gz"	"OPa-01-C-T0_1.fq.gz"
"R278_1.fq.gz"	"OPa-02-C-T0_1.fq.gz"
"R279_1.fq.gz"	"OPa-03-C-T0_1.fq.gz"
"R280_1.fq.gz"	"OPa-04-C-T0_1.fq.gz"
"R281_1.fq.gz"	"OPa-05-C-T0_1.fq.gz"
"R28_1.fq.gz"	"IPa08-H-T1_1.fq.gz"
"R282_1.fq.gz"	"OPa-01-C-T1_1.fq.gz"
"R284_1.fq.gz"	"OPa-03-C-T1_1.fq.gz"
"R285_1.fq.gz"	"OPa-04-C-T1_1.fq.gz"
"R287_1.fq.gz"	"OPa-01-L-T1_1.fq.gz"
"R288_1.fq.gz"	"OPa-02-L-T1_1.fq.gz"
"R289_1.fq.gz"	"OPa-03-L-T1_1.fq.gz"
"R290_1.fq.gz"	"OPa-04-L-T1_1.fq.gz"
"R291_1.fq.gz"	"OPa-05-L-T1_1.fq.gz"
"R29_1.fq.gz"	"IPa09-H-T1_1.fq.gz"
"R292_1.fq.gz"	"OPa-01-M-T1_1.fq.gz"
"R293_1.fq.gz"	"OPa-02-M-T1_1.fq.gz"
"R294_1.fq.gz"	"OPa-03-M-T1_1.fq.gz"
"R295_1.fq.gz"	"OPa-04-M-T1_1.fq.gz"
"R297_1.fq.gz"	"OPa-01-H-T1_1.fq.gz"
"R298_1.fq.gz"	"OPa-02-H-T1_1.fq.gz"
"R299_1.fq.gz"	"OPa-03-H-T1_1.fq.gz"
"R300_1.fq.gz"	"OPa-04-H-T1_1.fq.gz"
"R301_1.fq.gz"	"OPa-05-H-T1_1.fq.gz"
"R30_1.fq.gz"	"IPa10-H-T1_1.fq.gz"
"R302_1.fq.gz"	"OPa-01-C-T2_1.fq.gz"
"R303_1.fq.gz"	"OPa-02-C-T2_1.fq.gz"
"R304_1.fq.gz"	"OPa-03-C-T2_1.fq.gz"
"R305_1.fq.gz"	"OPa-04-C-T2_1.fq.gz"
"R306_1.fq.gz"	"OPa-05-C-T2_1.fq.gz"
"R307_1.fq.gz"	"OPa-01-L-T2_1.fq.gz"
"R308_1.fq.gz"	"OPa-02-L-T2_1.fq.gz"
"R309_1.fq.gz"	"OPa-03-L-T2_1.fq.gz"
"R310_1.fq.gz"	"OPa-04-L-T2_1.fq.gz"
"R311_1.fq.gz"	"OPa-05-L-T2_1.fq.gz"
"R31_1.fq.gz"	"IPa06-C-T2_1.fq.gz"
"R312_1.fq.gz"	"OPa-01-M-T2_1.fq.gz"
"R313_1.fq.gz"	"OPa-02-M-T2_1.fq.gz"
"R314_1.fq.gz"	"OPa-03-M-T2_1.fq.gz"
"R316_1.fq.gz"	"OPa-05-M-T2_1.fq.gz"
"R317_1.fq.gz"	"OPa-01-H-T2_1.fq.gz"
"R318_1.fq.gz"	"OPa-02-H-T2_1.fq.gz"
"R319_1.fq.gz"	"OPa-03-H-T2_1.fq.gz"
"R3_1.fq.gz"	"IPa08-C-TF_1.fq.gz"
"R320_1.fq.gz"	"OPa-04-H-T2_1.fq.gz"
"R321_1.fq.gz"	"OPa-05-H-T2_1.fq.gz"
"R32_1.fq.gz"	"IPa07-C-T2_1.fq.gz"
"R323_1.fq.gz"	"OPa-02-C-T3_1.fq.gz"
"R324_1.fq.gz"	"OPa-03-C-T3_1.fq.gz"
"R325_1.fq.gz"	"OPa-04-C-T3_1.fq.gz"
"R326_1.fq.gz"	"OPa-05-C-T3_1.fq.gz"
"R327_1.fq.gz"	"OPa-01-L-T3_1.fq.gz"
"R328_1.fq.gz"	"OPa-02-L-T3_1.fq.gz"
"R329_1.fq.gz"	"OPa-03-L-T3_1.fq.gz"
"R330_1.fq.gz"	"OPa-04-L-T3_1.fq.gz"
"R331_1.fq.gz"	"OPa-05-L-T3_1.fq.gz"
"R33_1.fq.gz"	"IPa08-C-T2_1.fq.gz"
"R332_1.fq.gz"	"OPa-01-M-T3_1.fq.gz"
"R333_1.fq.gz"	"OPa-02-M-T3_1.fq.gz"
"R334_1.fq.gz"	"OPa-03-M-T3_1.fq.gz"
"R335_1.fq.gz"	"OPa-04-M-T3_1.fq.gz"
